,Age,AadhaarGenerated,EnrolmentRejected,ResidentsProvidingEmail,ResidentsProvidingMobile
Age,1.0,-0.1261428362313959,-0.09932392989678049,0.006156982737661479,-0.11754788818507765
AadhaarGenerated,-0.1261428362313959,1.0,0.1401167553217603,0.10712622323323692,0.6936105667277779
EnrolmentRejected,-0.09932392989678049,0.1401167553217603,1.0,0.014933793070545898,0.1792120029788862
ResidentsProvidingEmail,0.006156982737661479,0.10712622323323692,0.014933793070545898,1.0,0.12565881007150814
ResidentsProvidingMobile,-0.11754788818507765,0.6936105667277779,0.1792120029788862,0.12565881007150814,1.0
